Nom ,Type,Mois,Saison
Ail,Légume,Janvier,Hiver
Betterave,Légume,Janvier,Hiver
Carotte,Légume,Janvier,Hiver
Céleri,Légume,Janvier,Hiver
Chou,Légume,Janvier,Hiver
Courge,Légume,Janvier,Hiver
Endive,Légume,Janvier,Hiver
Epinard,Légume,Janvier,Hiver
Frisée,Légume,Janvier,Hiver
Mâche,Légume,Janvier,Hiver
Navet,Légume,Janvier,Hiver
Panais,Légume,Janvier,Hiver
Poireau,Légume,Janvier,Hiver
Topinambour,Légume,Janvier,Hiver
Amande,Fruit,Janvier,Hiver
Citron,Fruit,Janvier,Hiver
Clémentine,Fruit,Janvier,Hiver
Kaki,Fruit,Janvier,Hiver
Kiwi,Fruit,Janvier,Hiver
Mandarine,Fruit,Janvier,Hiver
Orange,Fruit,Janvier,Hiver
Pamplemousse,Fruit,Janvier,Hiver
Physalis,Fruit,Janvier,Hiver
Poireau,Fruit,Janvier,Hiver
Pomme,Fruit,Janvier,Hiver
Lentille,Céréale et légumineuse,Janvier,Hiver
Ail,Légume,Février,Hiver
Betterave,Légume,Février,Hiver
Carotte,Légume,Février,Hiver
Céleri-rave,Légume,Février,Hiver
Chou,Légume,Février,Hiver
Endive,Légume,Février,Hiver
Epinard,Légume,Février,Hiver
Frisée,Légume,Février,Hiver
Mâche,Légume,Février,Hiver
Navet,Légume,Février,Hiver
Panais,Légume,Février,Hiver
Poireau,Légume,Février,Hiver
Radis,Légume,Février,Hiver
Salsifi,Légume,Février,Hiver
Topinambour,Légume,Février,Hiver
Amande,Fruit,Février,Hiver
Citron,Fruit,Février,Hiver
Clémentine,Fruit,Février,Hiver
Kiwi,Fruit,Février,Hiver
Mandarine,Fruit,Février,Hiver
Orange,Fruit,Février,Hiver
Pamplemousse,Fruit,Février,Hiver
Physalis,Fruit,Février,Hiver
Poire,Fruit,Février,Hiver
Pomme,Fruit,Février,Hiver
Lentille,Céréale et légumineuse,Février,Hiver
Ail,Légume,Mars,Hiver
Asperge,Légume,Mars,Hiver
Betterave,Légume,Mars,Hiver
Blette,Légume,Mars,Hiver
Carotte,Légume,Mars,Hiver
Céleri-Rave,Légume,Mars,Hiver
Chou,Légume,Mars,Hiver
Crosne,Légume,Mars,Hiver
Endive,Légume,Mars,Hiver
Epinard,Légume,Mars,Hiver
Frisée,Légume,Mars,Hiver
Navet,Légume,Mars,Hiver
Panais,Légume,Mars,Hiver
Poireau,Légume,Mars,Hiver
Radis,Légume,Mars,Hiver
Salsifi,Légume,Mars,Hiver
Topinambour,Légume,Mars,Hiver
Amande,Fruit,Mars,Hiver
Citron,Fruit,Mars,Hiver
Kiwi,Fruit,Mars,Hiver
Orange,Fruit,Mars,Hiver
Pamplemousse,Fruit,Mars,Hiver
Poire,Fruit,Mars,Hiver
Pomme,Fruit,Mars,Hiver
Lentille,Céréale et légumineuse,Mars,Hiver
Ail,Légume,Avril,Printemps
Artichaut,Légume,Avril,Printemps
Asperge,Légume,Avril,Printemps
Betterave,Légume,Avril,Printemps
