Classement,Ville agricole
1,Caunette sur Lauquet
2,Burnevillers
3,Aingoulaincourt
4,Grécourt
5,Brenon
6,Châtillon sur Lison
7,Canteleux
8,Saint Romain sous Versigny
9,La Chapelle sous Orbais
10,La Chapelle Marcousse
11,Vouthon Bas
12,Vesvres
13,Gincrey
14,Maizeray
15,Avondance
16,Puisenval
17,Pres
18,Vers sur Méouge
19,Oches
20,Roche Charles la Mayrand
21,Fraroz
22,Laroche près Feyt
23,Tudelle
24,La Terrisse
25,Valouse
26,Geraise
27,Autréville Saint Lambert
28,Magny Châtelard
29,Saint Anthot
30,Dessia
31,Saint Loup
32,Hinacourt
33,Châteaufort
34,Lafarre
35,Exermont
36,Imécourt
37,Bestiac
38,Saulcy
39,Vougrey
40,Fourtou
41,Lignairolles
42,Montgradail
43,Peux et Couffouleux
44,Sainte Lunaise
45,Saugy
46,Menesble
47,Oigny
48,Brousse
49,Malleret
50,Poet En Percip
51,Tonils
52,Saccourvielle
53,Celles
54,Romiguières
55,Beaufin
56,Saint Frézal d'Albuges
57,Bannay
58,Rapsécourt
59,Béchamps
60,Dampvitoux
61,Gondrexon
62,Baulny
63,Guinecourt
64,Casterets
65,Mazouau
66,Peyriguère
67,Pintac
68,Urbanya
69,Attricourt
70,Rapey
71,Rocourt
72,Varmonzey
73,Mont Dieu
74,Molpré
75,Remoncourt
76,Uz
77,Confolent Port Dieu
78,La Fage Montivernoux
79,Lisle en Barrois
80,Avesnes
81,Saint Étienne des Champs
82,Mazoires
83,Lastic
84,Chanterelle
85,Lavalette
86,Saint Bérain
87,Soudé
88,Montbrand
89,Avosnes
90,Saint Brès
91,Chastel
92,Saint Médard Nicourby
93,Saint Juéry
94,Béru
95,Espinasse
96,Crupilly
97,Suzanne
98,Riolas
99,Rix
100,Marchastel
